enlace,address,price,expensas,tipo,superficie,cantidad_ambientes,cantidad_dormitorios,cantidad_banos,latitud,longitud
https://www.argenprop.com/departamento-en-alquiler-en-corrientes-2-ambientes--16399660,Córdoba 400,$ 450.000,,Departamento,,2 ambientes,1 dorm.,1 baño,"-27,4623","-58,83374"
https://www.argenprop.com/departamento-en-alquiler-en-corrientes-2-ambientes--15985363,Pje Tabares 700,$ 150.000,,Departamento,,2 ambientes,1 dorm.,1 baño,"-27,46819","-58,78667"
https://www.argenprop.com/departamento-en-alquiler-en-corrientes-1-ambiente--12863411,FRAY JOSE DE LA QUINTANA 1700,$ 45.000,,Departamento,25 m² cubie.,Monoam.,,,"-27,46389","-58,82811"
https://www.argenprop.com/departamento-en-alquiler-en-corrientes-1-ambiente--16107074,San Martín 2300,$ 140.000,,Departamento,18 m² cubie.,Monoam.,,,"-27,47146","-58,82133"
https://www.argenprop.com/departamento-en-alquiler-en-corrientes-3-ambientes--16206263,BUENOS AIRES 1000,$ 600.000,,Departamento,80 m² cubie.,3 ambientes,2 dorm.,2 baños,"-27,468393","-58,840446"
https://www.argenprop.com/departamento-en-alquiler-en-corrientes-2-ambientes--15951326,ALBERDI 1800,$ 250.000,,Departamento,30 m² cubie.,2 ambientes,1 dorm.,,"-27,477886","-58,84448"
https://www.argenprop.com/departamento-en-alquiler-en-corrientes-2-ambientes--16259776,SEGOVIA LISANDRO 1800,$ 320.000,,Departamento,35 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,478836","-58,83532"
https://www.argenprop.com/departamento-en-alquiler-en-corrientes-2-ambientes--16331405,Avenida Maipú 2900,$ 340.000,+ $100.000 expensas,Departamento,46 m² cubie.,2 ambientes,1 dorm.,1 baño,"-27,50135","-58,813183"
