;enlace;address;price;expensas;tipo;superficie;cantidad_ambientes;cantidad_dormitorios;cantidad_banos;latitud;longitud;UNNE;UTN;UCES;UCuencaPlata;UCSalta;UGastónDachary;US21
17;https://www.argenprop.com/departamento-en-alquiler-en-zona-unne-4-ambientes--16215932;Av Chaco 1300;350000.0;;Departamento;;4;3;1;-27,47415;-58,98439;11.0;26.0;27.0;16.0;20.0;20.0;25.0
18;https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--16255465;Arbo Y Blanco 200, Piso 1;300000.0;;Departamento;;4;3;2;-27,45746;-58,98326;6.0;8.0;9.0;3.0;2.0;2.0;11.0
19;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--8946686;NECOCHEA 100;210000.0;15000.0;Departamento;30;2;1;1;-27,449608;-58,99009;16.0;11.0;8.0;11.0;9.0;8.0;4.0
20;https://www.argenprop.com/departamento-en-alquiler-en-resistencia--16296093;Alte G Brown 100, Piso 14;450000.0;100000.0;Departamento;;;3;1;-27,450562;-58,98345;14.0;4.0;2.0;10.0;6.0;5.0;9.0
21;https://www.argenprop.com/departamento-en-alquiler-en-villa-centenario-2-ambientes--16296262;Jose M Paz 900;160000.0;;Departamento;;2;1;1;-34,73257;-58,4285;8100.0;8113.0;8115.0;8104.0;8108.0;8108.0;8112.0
22;https://www.argenprop.com/departamento-en-alquiler-en-los-troncos-2-ambientes--16296352;Av. Rissione 600, Piso 2;350000.0;18000.0;Departamento;;2;1;1;-27,44341;-58,96642;27.0;15.0;15.0;25.0;22.0;22.0;28.0
23;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16300989;Av. Chaco 1500;250000.0;;Departamento;33;2;1;1;-27,4761;-58,98611;14.0;28.0;29.0;18.0;22.0;22.0;26.0
24;https://www.argenprop.com/departamento-en-alquiler-en-villa-del-oeste-3-ambientes--8478963;1º DE MAYO 1100;150000.0;15000.0;Departamento;60;3;2;1;-27,456268;-59,00619;23.0;27.0;25.0;20.0;21.0;20.0;13.0
25;https://www.argenprop.com/departamento-en-alquiler-en-villa-alta-1-ambiente--9047880;SICAS 100;95000.0;;Departamento;24;;;;-27,436663;-59,002605;35.0;28.0;25.0;30.0;27.0;27.0;20.0
26;https://www.argenprop.com/departamento-en-alquiler-en-nueva-resistencia-3-ambientes--16349490;Mz. 69 - Uf. 16 - Barrio Nueva Resistencia 100;220000.0;;Departamento;55;3;2;1;-27,441229;-59,020306;43.0;42.0;39.0;39.0;39.0;38.0;29.0
27;https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-2-ambientes--16349527;ALEM LEANDRO N. 400;250000.0;15000.0;Departamento;40;2;1;1;-27,461796;-58,990616;7.0;16.0;16.0;5.0;9.0;8.0;10.0
28;https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-1-ambiente--10207131;CORRIENTES 700;270000.0;40000.0;Departamento;38;;;1;-27,44282;-58,990257;23.0;14.0;11.0;19.0;15.0;15.0;11.0
29;https://www.argenprop.com/departamento-en-alquiler-en-villa-centenario-2-ambientes--15481686;SAN MARTIN 1000;;15000.0;Departamento;40;2;1;1;-27,4636;-58,991474;7.0;18.0;18.0;7.0;11.0;10.0;12.0
30;https://www.argenprop.com/departamento-en-alquiler-en-resistencia-1-ambiente--15771825;Pasaje Wilde 1100;100000.0;7000.0;Departamento;;;;1;-27,43835;-58,98016;28.0;14.0;12.0;24.0;19.0;19.0;20.0
31;https://www.argenprop.com/departamento-en-alquiler-en-resistencia-4-ambientes--16376382;av piacentini 1300, Piso 1;400000.0;115000.0;Departamento;76;4;2;2;-27,47154;-58,986313;9.0;23.0;24.0;13.0;17.0;17.0;22.0
32;https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--13008260;AV PARAGUAY 100;220000.0;48000.0;Departamento;140;4;3;4;-27,44806;-58,981457;17.0;4.0;1.0;13.0;9.0;9.0;12.0
33;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--13058843;AV.9 DE JULIO 700;200000.0;15000.0;Departamento;45;2;1;1;-26,585766;-60,954006;2182.0;2180.0;2177.0;2178.0;2177.0;2176.0;2168.0
34;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--14425576;IRIGOYEN 400;80000.0;;Departamento;70;3;2;;-27,453304;-58,982132;11.0;3.0;4.0;7.0;3.0;3.0;10.0
35;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--6581493;AV LAS HERAS 700, Piso 2;120000.0;50000.0;Departamento;55;2;1;1;-27,462883;-58,985634;2.0;14.0;15.0;3.0;7.0;8.0;13.0
36;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--14572138;JUAN D.PERON 600;100000.0;35000.0;Departamento;55;2;1;1;-27,44803;-58,99352;19.0;14.0;12.0;14.0;12.0;11.0;5.0
37;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--14906492;GARCIA MEROU 200;160000.0;40000.0;Departamento;55;3;2;1;-27,45666;-58,996166;14.0;18.0;16.0;10.0;11.0;10.0;5.0
38;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--11616830;AV.BELGRANO 100;150000.0;50000.0;Departamento;45;2;1;;-27,448004;-58,991825;18.0;13.0;10.0;14.0;11.0;10.0;5.0
39;https://www.argenprop.com/departamento-en-alquiler-en-centro-5-ambientes--15283675;AV.CASTELLI 400;250000.0;;Departamento;200;5;4;;-27,460798;-58,990322;7.0;15.0;15.0;4.0;8.0;7.0;9.0
40;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--15288168;JUAN B.JUSTO 100;230000.0;;Departamento;70;2;1;1;-27,452702;-58,98649;12.0;7.0;6.0;7.0;4.0;3.0;6.0
41;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--15330808;AV.9 DE JULIO 300;200000.0;40000.0;Departamento;75;3;2;2;-26,585766;-60,954006;2182.0;2180.0;2177.0;2178.0;2177.0;2176.0;2168.0
42;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--15403803;JUAN B.JUSTO 100;200000.0;50000.0;Departamento;65;3;2;;-27,452702;-58,98649;12.0;7.0;6.0;7.0;4.0;3.0;6.0
43;https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--15529006;ARBO Y BLANCO 800;100000.0;;Departamento;35;;;;-27,462057;-58,98817;4.0;15.0;15.0;3.0;7.0;7.0;11.0
44;https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--15536757;AV.LAS HERAS 700;150000.0;50000.0;Departamento;35;;;;-27,462831;-58,985558;2.0;14.0;15.0;3.0;7.0;7.0;13.0
45;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--15853411;FORMOSA 400;650000.0;120000.0;Departamento;65;3;2;2;-27,442028;-58,988285;24.0;13.0;11.0;19.0;15.0;15.0;12.0
46;https://www.argenprop.com/departamento-en-alquiler-en-espana-2-ambientes--6581505;HNOS.PINZON 1500, Piso P.B.;150000.0;;Departamento;45;2;1;;-27,445766;-59,018402;39.0;39.0;37.0;35.0;35.0;34.0;26.0
47;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--15897072;Av.Avalos 500;280000.0;50000.0;Departamento;75;3;2;1;-27,440973;-58,98908;25.0;15.0;12.0;20.0;17.0;16.0;13.0
48;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--6581402;CONCEP. DEL BERMEJO 200, Piso 3;320000.0;30000.0;Departamento;54;3;2;1;-27,441618;-58,993656;26.0;17.0;15.0;21.0;18.0;17.0;12.0
